id,factoryId,name,signName,generation,birth,series,trim,bodyType,numberOfSeats,length,width,height,engineType,boostType,maxSpeed,accceleration,cityFuel,createdAt,updatedAt
1,4,ACE,SignName1,1 generation,1993-01-01,Cabriolet,3.5 MT,Cabriolet,2,4420,1870,1300,Gasoline,Turbo,83,5,20,2022-11-26,2022-11-26
2,4,ACE,SignName2,1 generation,1993-01-01,Cabriolet,4.6 MT,Cabriolet,2,4420,1870,1300,Gasoline,,90,5,15,2022-11-26,2022-11-26
3,4,ACE,SignName3,1 generation,1993-01-01,Cabriolet,4.9 AT,Cabriolet,2,4420,1870,1300,Gasoline,,101,,,2022-11-26,2022-11-26
4,4,ACE,SignName4,1 generation,1993-01-01,Roadster,2.9 AT,,,,,,,,,,,2022-11-26,2022-11-26
5,4,ACE,SignName5,1 generation,1993-01-01,Roadster,2.9 MT,,,,,,,,,,,2022-11-26,2022-11-26
6,4,ACE,SignName6,1 generation,1993-01-01,Roadster,3.0 MT,,,,,,,,,,,2022-11-26,2022-11-26
7,4,ACE,SignName7,1 generation,1993-01-01,Roadster,3.5 MT,,,,,,,,,,,2022-11-26,2022-11-26
8,4,ACE,SignName8,1 generation,1993-01-01,Roadster,4.6 MT,,,,,,,,,,,2022-11-26,2022-11-26
9,4,ACE,SignName9,1 generation,1993-01-01,Roadster,4.9 AT,,,,,,,,,,,2022-11-26,2022-11-26
10,4,Aceca,SignName10,1 generation,1998-01-01,Coupe,3.5 MT,Coupe,4,4660,1890,1340,Gasoline,,83,5.6,20,2022-11-26,2022-11-26
11,4,Aceca,SignName11,1 generation,1998-01-01,Coupe,4.6 MT,Coupe,4,4660,1890,1340,Gasoline,,90,6.1,15.1,2022-11-26,2022-11-26
12,4,Aceca,SignName12,1 generation,1998-01-01,Coupe,4.6 MT,Coupe,4,4660,1890,1340,Gasoline,,90,6.1,15.1,2022-11-26,2022-11-26
13,4,Cobra,SignName13,1 generation,1990-01-01,Roadster,4.9 MT,Roadster,2,4155,1745,1230,Gasoline,,101,5.2,17,2022-11-26,2022-11-26
14,4,Cobra,SignName14,1 generation,1990-01-01,Roadster,4.9 MT,Roadster,2,4115,1735,1245,Gasoline,,101,5.2,18,2022-11-26,2022-11-26
15,4,Cobra,SignName15,1 generation,1990-01-01,Roadster,4.9 MT,Roadster,2,4200,1745,1200,Gasoline,Turbo,101,4.2,15.7,2022-11-26,2022-11-26
16,4,Cobra,SignName16,1 generation,1990-01-01,Roadster,4.9 MT,Roadster,2,4115,1735,1245,Gasoline,,101,5.2,18,2022-11-26,2022-11-26
17,4,Cobra,SignName17,1 generation,1990-01-01,Roadster,4.9 MT Lightweight,Roadster,2,4155,1745,1230,Gasoline,,101,5,,2022-11-26,2022-11-26
18,4,Cobra,SignName18,Mk IV,1990-01-01,Roadster,4.9 MT,,,,,,,,,,,2022-11-26,2022-11-26
19,4,Cobra,SignName19,Mk IV,1990-01-01,Roadster,4.9 MT,,,,,,,,,,,2022-11-26,2022-11-26
20,4,Cobra,SignName20,Mk IV,1990-01-01,Roadster,4.9 MT,,,,,,,,,,,2022-11-26,2022-11-26
21,4,Cobra,SignName21,Mk IV,1990-01-01,Roadster,4.9 MT,,,,,,,,,,,2022-11-26,2022-11-26
22,4,Cobra,SignName22,Mk IV,1990-01-01,Roadster,4.9 MT,,,,,,,,,,,2022-11-26,2022-11-26
23,5,CL,SignName23,1 generation,1996-01-01,Coupe,2.2 AT,Coupe,5,4825,1780,1390,Gasoline,,85,8.2,11.8,2022-11-26,2022-11-26
24,5,CL,SignName24,1 generation,1996-01-01,Coupe,2.2 MT,Coupe,5,4825,1780,1390,Gasoline,,85,8.2,9.6,2022-11-26,2022-11-26
25,5,CL,SignName25,1 generation,1996-01-01,Coupe,2.3 AT,Coupe,5,4825,1780,1390,Gasoline,,86,8.2,11.8,2022-11-26,2022-11-26
26,5,CL,SignName26,1 generation,1996-01-01,Coupe,2.3 MT,Coupe,5,4825,1780,1390,Gasoline,,86,8.2,9.6,2022-11-26,2022-11-26
27,5,CL,SignName27,1 generation,1996-01-01,Coupe,3.0 AT,Coupe,5,4825,1780,1390,Gasoline,,86,,11.8,2022-11-26,2022-11-26
28,5,CL,SignName28,2 generation,2000-01-01,Coupe,3.2 AT,Coupe,5,4877,1793,1410,Gasoline,,89,7.8,12.4,2022-11-26,2022-11-26
29,5,CL,SignName29,2 generation,2000-01-01,Coupe,3.2 AT,Coupe,5,4877,1793,1410,Gasoline,,89,6.8,12.4,2022-11-26,2022-11-26
30,5,CL,SignName30,2 generation,2000-01-01,Coupe,3.2 MT,Coupe,5,4877,1793,1410,Gasoline,,89,7.8,12.4,2022-11-26,2022-11-26
31,5,CL,SignName31,2 generation,2000-01-01,Coupe,3.2 MT,Coupe,5,4877,1793,1410,Gasoline,,89,6.6,12.4,2022-11-26,2022-11-26
32,5,CSX,SignName32,1 generation,2006-01-01,Sedan,2.0 AT,Sedan,5,4544,1752,1435,Gasoline,,86,,9.5,2022-11-26,2022-11-26
33,5,CSX,SignName33,1 generation,2006-01-01,Sedan,2.0 MT,Sedan,5,4544,1752,1435,Gasoline,,86,,8.7,2022-11-26,2022-11-26
34,5,EL,SignName34,2 generation,2001-01-01,Sedan,1.7 AT,Sedan,5,4505,1715,1440,Gasoline,,,,7.8,2022-11-26,2022-11-26
35,5,EL,SignName35,2 generation,2001-01-01,Sedan,1.7 MT,Sedan,5,4505,1715,1440,Gasoline,,,,7.8,2022-11-26,2022-11-26
36,5,ILX,SignName36,1 generation [2th redesign],2018-01-01,Sedan,2.4 AMT,,,,,,,,,,,2022-11-26,2022-11-26
37,5,Integra,SignName37,1 generation,1991-01-01,Coupe,1.8 AT,Coupe,5,4380,1710,1338,Gasoline,,81,6.8,9.4,2022-11-26,2022-11-26
38,5,Integra,SignName38,1 generation,1991-01-01,Coupe,1.8 MT,Coupe,5,4380,1710,1338,Gasoline,,81,6.8,9.4,2022-11-26,2022-11-26
39,5,Integra,SignName39,1 generation,1991-01-01,Coupe,1.8 MT,Coupe,5,4380,1710,1338,Gasoline,,81,7,9.4,2022-11-26,2022-11-26
40,5,Integra,SignName40,1 generation,1991-01-01,Coupe,1.8 MT,Coupe,5,4380,1695,1320,Gasoline,,,6.7,9.7,2022-11-26,2022-11-26
41,5,Integra,SignName41,1 generation,1991-01-01,Coupe,1.8 MT,Coupe,5,4380,1695,1320,Gasoline,,81,6.6,9.4,2022-11-26,2022-11-26
42,5,Integra,SignName42,1 generation,1991-01-01,Hatchback 3 doors,1.5 AT,,,,,,,,,,,2022-11-26,2022-11-26
43,5,Integra,SignName43,1 generation,1991-01-01,Hatchback 3 doors,1.5 MT,,,,,,,,,,,2022-11-26,2022-11-26
44,5,Integra,SignName44,1 generation,1991-01-01,Hatchback 3 doors,1.6 AT,,,,,,,,,,,2022-11-26,2022-11-26
45,5,Integra,SignName45,1 generation,1991-01-01,Hatchback 3 doors,1.6 MT,,,,,,,,,,,2022-11-26,2022-11-26
46,5,Integra,SignName46,1 generation,1991-01-01,Hatchback 5 doors,1.5 AT,,,,,,,,,,,2022-11-26,2022-11-26
47,5,Integra,SignName47,1 generation,1991-01-01,Hatchback 5 doors,1.5 MT,,,,,,,,,,,2022-11-26,2022-11-26
48,5,Integra,SignName48,1 generation,1991-01-01,Hatchback 5 doors,1.6 AT,,,,,,,,,,,2022-11-26,2022-11-26
49,5,Integra,SignName49,1 generation,1991-01-01,Hatchback 5 doors,1.6 MT,,,,,,,,,,,2022-11-26,2022-11-26
50,5,Integra,SignName50,1 generation,1991-01-01,Sedan,1.8 AT,Sedan,5,4525,1710,1370,Gasoline,,81,7.5,9.4,2022-11-26,2022-11-26
51,5,Integra,SignName51,1 generation,1991-01-01,Sedan,1.8 MT,Sedan,5,4525,1710,1370,Gasoline,,81,7.5,9.4,2022-11-26,2022-11-26
52,5,Integra,SignName52,1 generation,1991-01-01,Sedan,1.8 MT,Sedan,5,4525,1710,1370,Gasoline,,81,7.2,9.4,2022-11-26,2022-11-26
53,5,MDX,SignName53,1 generation,2001-01-01,Crossover,3.5 AT,Crossover,5,4788,1938,1745,Gasoline,,93,9,13,2022-11-26,2022-11-26
54,5,MDX,SignName54,1 generation,2001-01-01,Crossover,3.5 AT 4WD,,,,,,,,,,,2022-11-26,2022-11-26
55,5,MDX,SignName55,1 generation,2001-01-01,Crossover,3.5 AT 4WD,Crossover,5,4788,1938,1745,Gasoline,,89,8.7,13.8,2022-11-26,2022-11-26
56,5,MDX,SignName56,1 generation,2001-01-01,Crossover,3.5 AT 4WD,,,,,,,,,,,2022-11-26,2022-11-26
57,5,MDX,SignName57,1 generation,2001-01-01,Crossover,3.5 AT 4WD,Crossover,5,4789,1955,1744,Gasoline,,89,,13,2022-11-26,2022-11-26
58,5,MDX,SignName58,1 generation,2001-01-01,Crossover,3.5 AT 4WD,,,,,,,,,,,2022-11-26,2022-11-26
59,5,MDX,SignName59,2 generation,2006-01-01,Crossover,3.5 AT 4WD,Crossover,7,4789,1955,1744,Gasoline,,89,,13,2022-11-26,2022-11-26
60,5,MDX,SignName60,2 generation,2006-01-01,Crossover,3.7 AT 4WD,Crossover,7,4844,1994,1732,Gasoline,,89,7.7,13.8,2022-11-26,2022-11-26
61,5,MDX,SignName61,3 generation,2013-01-01,Crossover,3.5 AT 4WD,Crossover,7,4935,1960,1730,Gasoline,,89,7.6,15.1,2022-11-26,2022-11-26
62,5,MDX,SignName62,3 generation [2th redesign],2016-01-01,SUV 5 doors,3.0 AMT 4WD,,,,,,,,,,,2022-11-26,2022-11-26
63,5,MDX,SignName63,3 generation [2th redesign],2016-01-01,SUV 5 doors,3.5 AT,,,,,,,,,,,2022-11-26,2022-11-26
64,5,MDX,SignName64,3 generation [2th redesign],2016-01-01,SUV 5 doors,3.5 AT 4WD,,,,,,,,,,,2022-11-26,2022-11-26
65,5,NSX,SignName65,1 generation,1990-01-01,Cabriolet,3.0 MT,Cabriolet,2,4425,1810,1175,Gasoline,,90,5,,2022-11-26,2022-11-26
66,5,NSX,SignName66,1 generation,1990-01-01,Coupe,3.0 AT,,,,,,,,,,,2022-11-26,2022-11-26
67,5,NSX,SignName67,1 generation,1990-01-01,Coupe,3.0 MT,,,,,,,,,,,2022-11-26,2022-11-26
68,5,NSX,SignName68,1 generation,1990-01-01,Coupe,3.2 MT,,,,,,,,,,,2022-11-26,2022-11-26
69,5,NSX,SignName69,1 generation [redesign],2002-01-01,Coupe,3.0 MT,Coupe,2,4425,1810,1175,Gasoline,,90,5,,2022-11-26,2022-11-26
70,5,NSX,SignName70,1 generation [redesign],2002-01-01,Coupe,3.0 MT,Coupe,2,4425,1810,1175,Gasoline,,90,5,,2022-11-26,2022-11-26
71,5,NSX,SignName71,1 generation [redesign],2002-01-01,Coupe,3.2 MT,Coupe,2,4425,1810,1175,Gasoline,,93,5,16,2022-11-26,2022-11-26
72,5,NSX,SignName72,1 generation [redesign],2002-01-01,Coupe,3.2 MT,Coupe,2,4425,1811,1175,Gasoline,,93,,13,2022-11-26,2022-11-26
73,5,RDX,SignName73,1 generation,2006-01-01,Crossover,2.3 AT,Crossover,5,4590,1870,1655,Gasoline,,86,7,12.2,2022-11-26,2022-11-26
74,5,RDX,SignName74,1 generation [redesign],2009-01-01,SUV 5-doors,2.3 AT,,,,,,,,,,,2022-11-26,2022-11-26
75,5,RDX,SignName75,2 generation,2012-01-01,Crossover,3.5 AT AWD,Crossover,5,4685,1870,1680,Gasoline,,89,7.9,14,2022-11-26,2022-11-26
